ensembl,gene_symbol,DeepLOF_score
ENSG00000100767,PAPLN,0.12779617
ENSG00000100784,RPS6KA5,0.86237967
ENSG00000100796,SMEK1,0.9096483
ENSG00000100802,C14orf93,0.6327689
ENSG00000100804,PSMB5,0.90750563
ENSG00000100811,YY1,0.96963996
ENSG00000100813,ACIN1,0.88158447
ENSG00000100814,CCNB1IP1,0.5029721
ENSG00000100815,TRIP11,0.5843132
ENSG00000100823,APEX1,0.42277598
ENSG00000100836,PABPN1,0.61117417
ENSG00000100842,EFS,0.24690735
ENSG00000100852,ARHGAP5,0.8753189
ENSG00000100865,CINP,0.4322055
ENSG00000100867,DHRS2,0.13670647
ENSG00000100883,SRP54,0.91175044
ENSG00000100884,CPNE6,0.76527953
ENSG00000100888,CHD8,0.95513266
ENSG00000100889,PCK2,0.11679649
ENSG00000100890,KIAA0391,0.26552534
ENSG00000100897,DCAF11,0.68202007
ENSG00000100902,PSMA6,0.94624037
ENSG00000100906,NFKBIA,0.92899126
ENSG00000100908,EMC9,0.41591024
ENSG00000100911,PSME2,0.7084236
ENSG00000100916,BRMS1L,0.7186111
ENSG00000100918,REC8,0.56143
ENSG00000100926,TM9SF1,0.4700504
ENSG00000100934,SEC23A,0.51692367
ENSG00000100938,GMPR2,0.32894433
ENSG00000100941,PNN,0.7283032
ENSG00000100949,RABGGTA,0.4152547
ENSG00000100968,NFATC4,0.7618751
ENSG00000100979,PLTP,0.3199116
ENSG00000100982,PCIF1,0.92397463
ENSG00000100983,GSS,0.48742682
ENSG00000100985,MMP9,0.26297677
ENSG00000100987,VSX1,0.43404675
ENSG00000100991,TRPC4AP,0.766801
ENSG00000100994,PYGB,0.34702605
ENSG00000100997,ABHD12,0.56368804
ENSG00000101000,PROCR,0.4154415
ENSG00000101003,GINS1,0.33961594
ENSG00000101004,NINL,0.114490926
ENSG00000101017,CD40,0.7834722
ENSG00000101019,UQCC1,0.29818696
ENSG00000101040,ZMYND8,0.93873817
ENSG00000101049,SGK2,0.20891535
ENSG00000101052,IFT52,0.48145378
ENSG00000101057,MYBL2,0.75980574
ENSG00000101074,R3HDML,0.14545661
ENSG00000101076,HNF4A,0.78837115
ENSG00000101079,NDRG3,0.6802007
ENSG00000101082,SLA2,0.39724493
ENSG00000101084,C20orf24,0.65734005
ENSG00000101096,NFATC2,0.8848517
ENSG00000101098,RIMS4,0.82031894
ENSG00000101104,PABPC1L,0.60049343
ENSG00000101109,STK4,0.66719663
ENSG00000101115,SALL4,0.94127196
ENSG00000101126,ADNP,0.96011984
ENSG00000101132,PFDN4,0.68102515
ENSG00000101134,DOK5,0.54698074
ENSG00000101138,CSTF1,0.8947455
ENSG00000101144,BMP7,0.7554441
ENSG00000101146,RAE1,0.8933322
ENSG00000101150,TPD52L2,0.3725679
ENSG00000101152,DNAJC5,0.90085256
ENSG00000101158,NELFCD,0.7570574
ENSG00000101160,CTSZ,0.15891623
ENSG00000101161,PRPF6,0.7887279
ENSG00000101162,TUBB1,0.27493513
ENSG00000101166,SLMO2,0.56502837
ENSG00000101180,HRH3,0.7033895
ENSG00000101181,MTG2,0.37043136
ENSG00000101182,PSMA7,0.9522658
ENSG00000101187,SLCO4A1,0.29654717
ENSG00000101188,NTSR1,0.12767124
ENSG00000101189,MRGBP,0.87726295
ENSG00000101190,TCFL5,0.83007455
ENSG00000101191,DIDO1,0.8776218
ENSG00000101193,GID8,0.9165755
ENSG00000101194,SLC17A9,0.18231022
ENSG00000101197,BIRC7,0.2002362
ENSG00000101198,NKAIN4,0.41917682
ENSG00000101199,ARFGAP1,0.62036943
ENSG00000101200,AVP,0.49140203
ENSG00000101203,COL20A1,0.06960809
ENSG00000101204,CHRNA4,0.5191146
ENSG00000101210,EEF1A2,0.95541865
ENSG00000101213,PTK6,0.18838847
ENSG00000101216,GMEB2,0.89364564
ENSG00000101220,C20orf27,0.38763845
ENSG00000101222,SPEF1,0.3293048
ENSG00000101224,CDC25B,0.75852036
ENSG00000101230,ISM1,0.60720396
ENSG00000101236,RNF24,0.63080883
ENSG00000101246,ARFRP1,0.7548561
ENSG00000101247,NDUFAF5,0.31265533
ENSG00000101251,SEL1L2,0.12698412
ENSG00000101255,TRIB3,0.17661595
ENSG00000101265,RASSF2,0.47075194
ENSG00000101266,CSNK2A1,0.89620745
ENSG00000101276,SLC52A3,0.6233345
ENSG00000101280,ANGPT4,0.120331705
ENSG00000101282,RSPO4,0.15112495
ENSG00000101290,CDS2,0.57602906
ENSG00000101292,PROKR2,0.24076533
ENSG00000101294,HM13,0.8188106
ENSG00000101298,SNPH,0.84958804
ENSG00000101306,MYLK2,0.5786591
ENSG00000101307,SIRPB1,0.16424382
ENSG00000101310,SEC23B,0.35347676
ENSG00000101311,FERMT1,0.43291217
ENSG00000101323,HAO1,0.13268757
ENSG00000101327,PDYN,0.14889675
ENSG00000101331,CCM2L,0.31591654
ENSG00000101333,PLCB4,0.6926656
ENSG00000101335,MYL9,0.61610997
ENSG00000101336,HCK,0.6882956
ENSG00000101337,TM9SF4,0.8621472
ENSG00000101342,TLDC2,0.29159033
ENSG00000101343,CRNKL1,0.6133473
ENSG00000101346,POFUT1,0.80380595
ENSG00000101347,SAMHD1,0.3931507
ENSG00000101349,PAK7,0.904356
ENSG00000101350,KIF3B,0.7489145
ENSG00000101353,MROH8,0.32930958
ENSG00000101361,NOP56,0.77266604
ENSG00000101363,MANBAL,0.35442752
ENSG00000101365,IDH3B,0.356434
ENSG00000101367,MAPRE1,0.9025576
ENSG00000101384,JAG1,0.92691123
ENSG00000101391,CDK5RAP1,0.1956706
ENSG00000101400,SNTA1,0.6056808
ENSG00000101405,OXT,0.6617524
ENSG00000101407,TTI1,0.41993225
ENSG00000101412,E2F1,0.8963328
ENSG00000101413,RPRD1B,0.7697957
ENSG00000101417,PXMP4,0.3395443
ENSG00000101421,CHMP4B,0.93068504
ENSG00000101425,BPI,0.1256262
ENSG00000101435,CST9L,0.05674815
ENSG00000101438,SLC32A1,0.83940053
ENSG00000101439,CST3,0.2449131
ENSG00000101440,ASIP,0.1881491
ENSG00000101441,CST4,0.07425821
ENSG00000101442,ACTR5,0.32973278
ENSG00000101443,WFDC2,0.3761797
ENSG00000101444,AHCY,0.7067361
ENSG00000101445,PPP1R16B,0.9001767
ENSG00000101446,SPINT3,0.06475204
ENSG00000101447,FAM83D,0.23759222
ENSG00000101448,EPPIN,0.11417079
ENSG00000101452,DHX35,0.24106014
ENSG00000101457,DNTTIP1,0.79391825
ENSG00000101460,MAP1LC3A,0.60575914
ENSG00000101463,SYNDIG1,0.6978911
ENSG00000101464,PIGU,0.46813345
ENSG00000101470,TNNC2,0.61330056
ENSG00000101473,ACOT8,0.24957329
ENSG00000101474,APMAP,0.22044373
ENSG00000101489,CELF4,0.9197942
ENSG00000101493,ZNF516,0.9092679
ENSG00000101542,CDH20,0.7516022
ENSG00000101544,ADNP2,0.74177516
ENSG00000101546,RBFA,0.3029682
ENSG00000101557,USP14,0.7972024
ENSG00000101558,VAPA,0.79595613
ENSG00000101574,METTL4,0.29096812
ENSG00000101577,LPIN2,0.6569202
ENSG00000101596,SMCHD1,0.89563453
ENSG00000101605,MYOM1,0.19609123
ENSG00000101608,MYL12A,0.6452363
ENSG00000101624,CEP76,0.49568766
ENSG00000101638,ST8SIA5,0.46287715
ENSG00000101639,CEP192,0.48887897
ENSG00000101654,RNMT,0.46460992
ENSG00000101665,SMAD7,0.90234727
ENSG00000101670,LIPG,0.41020513
ENSG00000101680,LAMA1,0.48194492
ENSG00000101695,RNF125,0.29338259
ENSG00000101745,ANKRD12,0.8716588
ENSG00000101746,NOL4,0.90323377
ENSG00000101751,POLI,0.2232328
ENSG00000101752,MIB1,0.109173775
ENSG00000101773,RBBP8,0.42308468
ENSG00000101782,RIOK3,0.44836104
ENSG00000101811,CSTF2,0.9674201
ENSG00000101812,H2BFM,0.16025293
ENSG00000101825,MXRA5,0.7018287
ENSG00000101842,VSIG1,0.36693853
ENSG00000101843,PSMD10,0.81233644
ENSG00000101844,ATG4A,0.86608815
ENSG00000101846,STS,0.788517
ENSG00000101849,TBL1X,0.8665598
ENSG00000101850,GPR143,0.83108133
ENSG00000101856,PGRMC1,0.71736234
ENSG00000101868,POLA1,0.97975075
ENSG00000101871,MID1,0.8821409
ENSG00000101882,NKAP,0.9393312
ENSG00000101883,RHOXF1,0.5350131
ENSG00000101888,NXT2,0.8732482
ENSG00000101890,GUCY2F,0.22417676
ENSG00000101892,ATP1B4,0.42748183
ENSG00000101901,ALG13,0.9154031
ENSG00000101911,PRPS2,0.93981755
ENSG00000101916,TLR8,0.77916414
ENSG00000101928,MOSPD1,0.8965437
ENSG00000101935,AMMECR1,0.8192403
ENSG00000101938,CHRDL1,0.69151855
ENSG00000101940,WDR13,0.9013882
ENSG00000101945,SUV39H1,0.9474542
ENSG00000101951,PAGE4,0.31877947
ENSG00000101955,SRPX,0.42977035
ENSG00000101958,GLRA2,0.89006174
ENSG00000101966,XIAP,0.8485204
ENSG00000101972,STAG2,0.9699286
ENSG00000101974,ATP11C,0.8632033
ENSG00000101977,MCF2,0.8040705
ENSG00000101981,F9,0.91868377
ENSG00000101986,ABCD1,0.9292502
ENSG00000101997,CCDC22,0.9550629
ENSG00000102001,CACNA1F,0.6768404
ENSG00000102003,SYP,0.81839776
ENSG00000102007,PLP2,0.30810946
ENSG00000102010,BMX,0.6370283
ENSG00000102021,LUZP4,0.12712407
ENSG00000102024,PLS3,0.87745583
ENSG00000102030,NAA10,0.9016467
ENSG00000102032,RENBP,0.7340652
ENSG00000102034,ELF4,0.6843153
ENSG00000102038,SMARCA1,0.9328827
ENSG00000102043,MTMR8,0.10728371
ENSG00000102048,ASB9,0.78410745
ENSG00000102053,ZC3H12B,0.9157437
ENSG00000102054,RBBP7,0.9233613
ENSG00000102057,KCND1,0.7191587
ENSG00000102069,NA,0.3810115
ENSG00000102076,OPN1LW,0.8953292
ENSG00000102078,SLC25A14,0.9336365
ENSG00000102081,FMR1,0.8114011
ENSG00000102096,PIM2,0.87194824
ENSG00000102098,SCML2,0.94045
ENSG00000102100,SLC35A2,0.8744037
ENSG00000102103,PQBP1,0.8602315
ENSG00000102104,RS1,0.86917776
ENSG00000102109,PCSK1N,0.61987036
ENSG00000102119,EMD,0.7275866
ENSG00000102125,TAZ,0.8731935
ENSG00000102128,RAB40AL,0.19255972
ENSG00000102144,PGK1,0.82713675
ENSG00000102145,GATA1,0.88274986
ENSG00000102158,MAGT1,0.89432377
ENSG00000102172,SMS,0.9176588
ENSG00000102174,PHEX,0.9298099
ENSG00000102178,UBL4A,0.74714816
ENSG00000102181,CD99L2,0.31648695
ENSG00000102189,EEA1,0.7768123
ENSG00000102195,GPR50,0.5967881
ENSG00000102218,RP2,0.873943
ENSG00000102221,JADE3,0.954281
ENSG00000102225,CDK16,0.88963413
ENSG00000102226,USP11,0.9223358
ENSG00000102230,PCYT1B,0.84827965
ENSG00000102239,BRS3,0.8804923
ENSG00000102241,HTATSF1,0.91265273
ENSG00000102243,VGLL1,0.70234334
ENSG00000102245,CD40LG,0.7845619
ENSG00000102265,TIMP1,0.700361
ENSG00000102271,KLHL4,0.7636037
ENSG00000102287,GABRE,0.4464289
ENSG00000102290,PCDH11X,0.6899134
ENSG00000102302,FGD1,0.9193037
ENSG00000102309,PIN4,0.5095654
ENSG00000102312,PORCN,0.9476834
ENSG00000102313,ITIH6,0.05909109
ENSG00000102316,MAGED2,0.9210677
ENSG00000102317,RBM3,0.7989801
ENSG00000102349,KLF8,0.5625053
ENSG00000102359,SRPX2,0.6631705
ENSG00000102362,SYTL4,0.6267295
ENSG00000102383,ZDHHC15,0.8403705
ENSG00000102384,CENPI,0.9166461
ENSG00000102385,DRP2,0.61311233
ENSG00000102387,TAF7L,0.82239807
ENSG00000102390,PBDC1,0.74862987
ENSG00000102393,GLA,0.93871033
ENSG00000102401,ARMCX3,0.74570125
ENSG00000102409,BEX4,0.7045592
ENSG00000102445,KIAA0226L,0.14218748
ENSG00000102452,NALCN,0.6280397
ENSG00000102466,FGF14,0.87540555
ENSG00000102468,HTR2A,0.7827095
ENSG00000102471,NDFIP2,0.7267977
ENSG00000102524,TNFSF13B,0.9198105
ENSG00000102531,FNDC3A,0.86219656
ENSG00000102539,MLNR,0.3018999
ENSG00000102543,CDADC1,0.28253257
ENSG00000102547,CAB39L,0.4415474
ENSG00000102554,KLF5,0.886386
ENSG00000102572,STK24,0.70446515
ENSG00000102575,ACP5,0.62970096
ENSG00000102580,DNAJC3,0.7033591
ENSG00000102595,UGGT2,0.16648918
ENSG00000102606,ARHGEF7,0.9015323
ENSG00000102678,FGF9,0.9205256
ENSG00000102683,SGCG,0.2711382
ENSG00000102699,PARP4,0.28757155
ENSG00000102710,SUPT20H,0.42309242
ENSG00000102738,MRPS31,0.34939027
ENSG00000102743,SLC25A15,0.26746917
ENSG00000102753,KPNA3,0.8644258
ENSG00000102755,FLT1,0.83313096
ENSG00000102760,RGCC,0.57861567
ENSG00000102763,VWA8,0.09793192
ENSG00000102780,DGKH,0.74475163
ENSG00000102781,KATNAL1,0.74950564
ENSG00000102786,INTS6,0.949308
ENSG00000102794,IRG1,0.30698097
ENSG00000102796,DHRS12,0.19794697
ENSG00000102802,MEDAG,0.2190615
ENSG00000102804,TSC22D1,0.8291779
ENSG00000102805,CLN5,0.34861577
ENSG00000102837,OLFM4,0.28804183
ENSG00000102854,MSLN,0.07659936
ENSG00000102858,MGRN1,0.6802022
ENSG00000102870,ZNF629,0.9231084
ENSG00000102871,TRADD,0.67408353
ENSG00000102878,HSF4,0.38961262
ENSG00000102879,CORO1A,0.8532666
ENSG00000102882,MAPK3,0.69714254
ENSG00000102886,GDPD3,0.13211262
ENSG00000102890,ELMO3,0.22212863
ENSG00000102891,MT4,0.103497565
ENSG00000102893,PHKB,0.37337726
ENSG00000102897,LYRM1,0.15259051
ENSG00000102898,NUTF2,0.9630967
ENSG00000102900,NUP93,0.58590424
ENSG00000102901,CENPT,0.41820985
ENSG00000102904,TSNAXIP1,0.06623697
ENSG00000102908,NFAT5,0.87980354
ENSG00000102910,LONP2,0.2563331
ENSG00000102921,N4BP1,0.76509297
ENSG00000102924,CBLN1,0.81854767
ENSG00000102931,ARL2BP,0.40163255
ENSG00000102934,PLLP,0.40788382
ENSG00000102935,ZNF423,0.8984399
ENSG00000102962,CCL22,0.23727268
ENSG00000102967,DHODH,0.5667702
ENSG00000102970,CCL17,0.17808282
ENSG00000102974,CTCF,0.9666519
ENSG00000102977,ACD,0.22725189
ENSG00000102978,POLR2C,0.62628084
ENSG00000102981,PARD6A,0.67449915
ENSG00000102984,ZNF821,0.6799779
ENSG00000102996,MMP15,0.7232139
ENSG00000103005,USB1,0.38470972
ENSG00000103018,CYB5B,0.5044713
ENSG00000103021,CCDC113,0.124150395
ENSG00000103023,PRSS54,0.23205566
ENSG00000103024,NME3,0.18602347
ENSG00000103034,NDRG4,0.62702566
ENSG00000103035,PSMD7,0.78714764
ENSG00000103037,SETD6,0.09623498
ENSG00000103042,SLC38A7,0.4398408
ENSG00000103043,VAC14,0.76751226
ENSG00000103044,HAS3,0.8208404
ENSG00000103047,TANGO6,0.31299573
ENSG00000103051,COG4,0.5431025
ENSG00000103056,SMPD3,0.74534965
ENSG00000103061,SLC7A6OS,0.50546217
ENSG00000103064,SLC7A6,0.64382
ENSG00000103066,PLA2G15,0.58810985
ENSG00000103067,ESRP2,0.49079347
ENSG00000103089,FA2H,0.67562234
ENSG00000103091,WDR59,0.49590594
ENSG00000103111,MON1B,0.69533426
ENSG00000103121,CMC2,0.35747916
ENSG00000103126,AXIN1,0.7669552
ENSG00000103145,HCFC1R1,0.26318133
ENSG00000103148,NPRL3,0.704979
ENSG00000103150,MLYCD,0.4484229
ENSG00000103152,MPG,0.15771937
ENSG00000103154,NECAB2,0.14833969
ENSG00000103160,HSDL1,0.56067634
ENSG00000103168,TAF1C,0.16714811
ENSG00000103174,NAGPA,0.26730388
ENSG00000103175,WFDC1,0.14388406
ENSG00000103184,SEC14L5,0.1306163
ENSG00000103187,COTL1,0.4907276
ENSG00000103194,USP10,0.82398665
ENSG00000103196,CRISPLD2,0.44394374
ENSG00000103197,TSC2,0.9618213
ENSG00000103199,ZNF500,0.41277564
ENSG00000103202,NME4,0.30368948
ENSG00000103222,ABCC1,0.7163638
ENSG00000103226,NOMO3,0.3374014
ENSG00000103227,LMF1,0.16572654
ENSG00000103241,FOXF1,0.9334905
ENSG00000103245,NARFL,0.40594333
ENSG00000103248,MTHFSD,0.17304748
ENSG00000103249,CLCN7,0.7738675
ENSG00000103253,HAGHL,0.22623456
ENSG00000103254,FAM173A,0.2853307
ENSG00000103257,SLC7A5,0.80087245
ENSG00000103260,METRN,0.42089248
ENSG00000103264,FBXO31,0.80927694
ENSG00000103266,STUB1,0.6764488
ENSG00000103269,RHBDL1,0.716966
ENSG00000103274,NUBP1,0.16813087
ENSG00000103275,UBE2I,0.975302
ENSG00000103310,ZP2,0.36643505
ENSG00000103313,MEFV,0.21412462
ENSG00000103316,CRYM,0.63860214
ENSG00000103319,EEF2K,0.19562411
ENSG00000103326,CAPN15,0.8094628
ENSG00000103335,PIEZO1,0.50874156
ENSG00000103342,GSPT1,0.9533991
ENSG00000103343,ZNF174,0.62607723
ENSG00000103351,CLUAP1,0.56299174
ENSG00000103353,UBFD1,0.85369104
ENSG00000103355,PRSS33,0.2236327
ENSG00000103356,EARS2,0.33086586
ENSG00000103363,TCEB2,0.65297306
ENSG00000103365,GGA2,0.40477026
ENSG00000103375,AQP8,0.20796454
ENSG00000103381,CPPED1,0.19865131
ENSG00000103404,USP31,0.73048246
ENSG00000103415,HMOX2,0.47805703
ENSG00000103423,DNAJA3,0.6107178
ENSG00000103426,CORO7-PAM16,0.25254196
ENSG00000103429,BFAR,0.4014988
ENSG00000103449,SALL1,0.90660435
ENSG00000103460,TOX3,0.91403556
ENSG00000103479,RBL2,0.81983346
ENSG00000103485,QPRT,0.4358008
ENSG00000103489,XYLT1,0.7902061
ENSG00000103490,PYCARD,0.3460288
ENSG00000103494,RPGRIP1L,0.25910223
ENSG00000103495,MAZ,0.8407529
ENSG00000103496,STX4,0.3731135
ENSG00000103502,CDIPT,0.63339144
ENSG00000103507,BCKDK,0.54875505
ENSG00000103510,KAT8,0.77557695
ENSG00000103512,NOMO1,0.2186867
ENSG00000103522,IL21R,0.8711465
ENSG00000103528,SYT17,0.51975787
ENSG00000103534,TMC5,0.46484834
ENSG00000103540,CCP110,0.67265713
ENSG00000103544,C16orf62,0.52128667
ENSG00000103546,SLC6A2,0.7289883
ENSG00000103549,RNF40,0.85925233
ENSG00000103550,KNOP1,0.20240098
ENSG00000103569,AQP9,0.2271629
ENSG00000103591,AAGAB,0.22000962
ENSG00000103599,IQCH,0.23602909
ENSG00000103642,LACTB,0.41424155
ENSG00000103647,CORO2B,0.7322341
ENSG00000103653,CSK,0.95698756
ENSG00000103657,HERC1,0.8105125
ENSG00000103671,TRIP4,0.50144076
ENSG00000103707,MTFMT,0.22252226
ENSG00000103710,RASL12,0.3665715
ENSG00000103723,AP3B2,0.7887911
ENSG00000103740,ACSBG1,0.5927092
ENSG00000103742,IGDCC4,0.5802751
ENSG00000103769,RAB11A,0.9680004
ENSG00000103811,CTSH,0.35750604
ENSG00000103852,TTC23,0.10019666
ENSG00000103855,CD276,0.2781905
ENSG00000103876,FAH,0.20559585
ENSG00000103888,CEMIP,0.4889602
ENSG00000103932,RPAP1,0.41352832
ENSG00000103942,HOMER2,0.5100228
ENSG00000103966,EHD4,0.6141671
ENSG00000103978,TMEM87A,0.7162119
ENSG00000103994,ZNF106,0.6942887
ENSG00000103995,CEP152,0.3146016
ENSG00000104043,ATP8B4,0.14665306
ENSG00000104044,OCA2,0.22449613
ENSG00000104047,DTWD1,0.1733582
ENSG00000104055,TGM5,0.08214831
ENSG00000104059,FAM189A1,0.6618735
ENSG00000104064,GABPB1,0.8817955
ENSG00000104067,TJP1,0.9573545
ENSG00000104081,BMF,0.59598
ENSG00000104093,DMXL2,0.88536716
ENSG00000104112,SCG3,0.4713233
ENSG00000104129,DNAJC17,0.55152833
ENSG00000104131,EIF3J,0.83340746
ENSG00000104133,SPG11,0.31546795
ENSG00000104140,RHOV,0.78879434
ENSG00000104142,VPS18,0.74970317
ENSG00000104147,OIP5,0.17269194
ENSG00000104154,SLC30A4,0.679361
ENSG00000104164,BLOC1S6,0.33167803
ENSG00000104177,MYEF2,0.76571506
ENSG00000104205,SGK3,0.5378948
ENSG00000104213,PDGFRL,0.13450801
ENSG00000104218,CSPP1,0.24282551
ENSG00000104219,ZDHHC2,0.6085821
ENSG00000104221,BRF2,0.25362366
ENSG00000104228,TRIM35,0.44417375
ENSG00000104231,ZFAND1,0.21701342
ENSG00000104237,RP1,0.3791244
ENSG00000104267,CA2,0.44563478
ENSG00000104290,FZD3,0.74986064
ENSG00000104299,INTS9,0.51637167
ENSG00000104312,RIPK2,0.7458686
ENSG00000104313,EYA1,0.8075114
ENSG00000104320,NBN,0.30700624
ENSG00000104321,TRPA1,0.10534072
ENSG00000104324,CPQ,0.19015545
ENSG00000104325,DECR1,0.15431237
ENSG00000104327,CALB1,0.73697114
ENSG00000104331,IMPAD1,0.6325082
ENSG00000104332,SFRP1,0.8801538
ENSG00000104341,LAPTM4B,0.18854511
ENSG00000104343,UBE2W,0.55896246
ENSG00000104356,POP1,0.42928004
ENSG00000104361,NIPAL2,0.17281306
ENSG00000104365,IKBKB,0.80533826
ENSG00000104368,PLAT,0.5232206
ENSG00000104369,JPH1,0.7704376
ENSG00000104371,DKK4,0.15939933
ENSG00000104375,STK3,0.59122
ENSG00000104381,GDAP1,0.47128797
ENSG00000104388,RAB2A,0.9637619
ENSG00000104408,EIF3E,0.748793
ENSG00000104412,EMC2,0.6013388
ENSG00000104413,ESRP1,0.85223114
ENSG00000104415,WISP1,0.34105504
ENSG00000104419,NDRG1,0.6627228
ENSG00000104427,ZC2HC1A,0.6222609
ENSG00000104432,IL7,0.613531
ENSG00000104435,STMN2,0.89096725
ENSG00000104442,ARMC1,0.7642831
ENSG00000104447,TRPS1,0.9303341
ENSG00000104450,SPAG1,0.400411
ENSG00000104472,CHRAC1,0.4586467
ENSG00000104490,NCALD,0.8783378
ENSG00000104497,SNX16,0.35559398
ENSG00000104499,GML,0.098591566
ENSG00000104517,UBR5,0.95786595
ENSG00000104518,GSDMD,0.19036663
ENSG00000104522,TSTA3,0.3031968
ENSG00000104524,PYCRL,0.2252878
ENSG00000104529,EEF1D,0.3857301
ENSG00000104537,ANXA13,0.18584365
ENSG00000104549,SQLE,0.7900907
ENSG00000104611,SH2D4A,0.118567646
ENSG00000104613,INTS10,0.9125942
ENSG00000104626,ERI1,0.44615465
ENSG00000104635,SLC39A14,0.7289866
ENSG00000104643,MTMR9,0.60529387
ENSG00000104660,LEPROTL1,0.77779865
ENSG00000104671,DCTN6,0.5816492
ENSG00000104679,R3HCC1,0.30212486
ENSG00000104687,GSR,0.41861773
ENSG00000104689,TNFRSF10A,0.14031094
ENSG00000104695,PPP2CB,0.8493458
ENSG00000104714,ERICH1,0.13448799
ENSG00000104722,NEFM,0.68968695
ENSG00000104723,TUSC3,0.5640787
ENSG00000104728,ARHGEF10,0.2908296
ENSG00000104731,KLHDC4,0.07691789
ENSG00000104738,MCM4,0.64488834
ENSG00000104755,ADAM2,0.0669837
ENSG00000104756,KCTD9,0.8331326
ENSG00000104760,FGL1,0.051152527
ENSG00000104763,ASAH1,0.27208138
ENSG00000104765,BNIP3L,0.7532381
ENSG00000104774,MAN2B1,0.3072666
ENSG00000104783,KCNN4,0.4300946
ENSG00000104804,TULP2,0.14317214
ENSG00000104805,NUCB1,0.36201638
ENSG00000104808,DHDH,0.11670208
ENSG00000104812,GYS1,0.66026294
ENSG00000104814,MAP4K1,0.8231871
ENSG00000104818,CGB2,0.15366226
ENSG00000104823,ECH1,0.33657098
ENSG00000104824,HNRNPL,0.9327932
ENSG00000104825,NFKBIB,0.7102303
ENSG00000104826,LHB,0.34413576
ENSG00000104827,CGB,0.15349519
ENSG00000104833,TUBB4A,0.8527476
ENSG00000104835,SARS2,0.39698148
ENSG00000104848,KCNA7,0.591273
ENSG00000104852,SNRNP70,0.940346
ENSG00000104853,CLPTM1,0.84942037
ENSG00000104856,RELB,0.8656306
ENSG00000104859,CLASRP,0.77642655
ENSG00000104863,LIN7B,0.81649697
ENSG00000104866,PPP1R37,0.86661947
ENSG00000104870,FCGRT,0.6102389
ENSG00000104872,PIH1D1,0.47654468
ENSG00000104879,CKM,0.43859744
ENSG00000104880,ARHGEF18,0.5998056
ENSG00000104881,PPP1R13L,0.66831696
ENSG00000104883,PEX11G,0.1770674
ENSG00000104884,ERCC2,0.29605013
ENSG00000104885,DOT1L,0.9348416
ENSG00000104886,PLEKHJ1,0.45388138
ENSG00000104888,SLC17A7,0.928233
ENSG00000104889,RNASEH2A,0.5304357
ENSG00000104892,KLC3,0.11654329
ENSG00000104894,CD37,0.29151726
ENSG00000104897,SF3A2,0.8772502
ENSG00000104899,AMH,0.07347679
ENSG00000104901,DKKL1,0.18341118
ENSG00000104903,LYL1,0.7859103
ENSG00000104904,OAZ1,0.5950389
ENSG00000104907,TRMT1,0.36256123
ENSG00000104915,STX10,0.18244827
ENSG00000104918,RETN,0.22955179
ENSG00000104921,FCER2,0.12851858
ENSG00000104936,DMPK,0.65351844
ENSG00000104938,CLEC4M,0.26022887
ENSG00000104941,RSPH6A,0.2290008
ENSG00000104946,TBC1D17,0.18715727
ENSG00000104951,IL4I1,0.5604256
ENSG00000104953,TLE6,0.48086596
ENSG00000104957,CCDC130,0.4483143
ENSG00000104960,PTOV1,0.73257583
ENSG00000104964,AES,0.89231336
ENSG00000104967,NOVA2,0.9328037
ENSG00000104969,SGTA,0.8582167
ENSG00000104972,LILRB1,0.18780595
ENSG00000104973,MED25,0.5749948
ENSG00000104974,LILRA1,0.06560296
ENSG00000104976,SNAPC2,0.4199239
ENSG00000104979,C19orf53,0.23957288
ENSG00000104980,TIMM44,0.617256
ENSG00000104983,CCDC61,0.151892
ENSG00000104998,IL27RA,0.38095385
ENSG00000105011,ASF1B,0.345541
ENSG00000105048,TNNT1,0.2992016
ENSG00000105053,VRK3,0.24587274
ENSG00000105058,FAM32A,0.66400707
ENSG00000105063,PPP6R1,0.80040646
ENSG00000105072,C19orf44,0.17718297
ENSG00000105085,MED26,0.7775999
ENSG00000105088,OLFM2,0.775599
ENSG00000105122,RASAL3,0.3785193
ENSG00000105127,AKAP8,0.73490006
ENSG00000105131,EPHX3,0.09293234
ENSG00000105135,ILVBL,0.4099446
ENSG00000105136,ZNF419,0.20159906
ENSG00000105137,SYDE1,0.75992465
ENSG00000105141,CASP14,0.18250322
ENSG00000105143,SLC1A6,0.7873523
ENSG00000105146,AURKC,0.5834728
ENSG00000105171,POP4,0.3608489
ENSG00000105173,CCNE1,0.82862556
ENSG00000105176,URI1,0.50721633
ENSG00000105185,PDCD5,0.46970975
ENSG00000105186,ANKRD27,0.19130766
ENSG00000105193,RPS16,0.86724067
ENSG00000105197,TIMM50,0.5895122
ENSG00000105198,LGALS13,0.11127925
ENSG00000105202,FBL,0.84088105
ENSG00000105204,DYRK1B,0.8432313
ENSG00000105205,CLC,0.14274323
ENSG00000105219,CNTD2,0.19878483
ENSG00000105220,GPI,0.56039166
ENSG00000105221,AKT2,0.8072233
ENSG00000105223,PLD3,0.49613333
ENSG00000105227,PRX,0.26884967
ENSG00000105229,PIAS4,0.9380375
ENSG00000105245,NUMBL,0.9069028
ENSG00000105246,EBI3,0.35423958
ENSG00000105248,CCDC94,0.46845782
ENSG00000105251,SHD,0.19202256
ENSG00000105254,TBCB,0.6161521
